Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating
Other,84772.0,495916.2,2019-11-09,Product_2,100 - 500 Million,Category 2,India,Tharati Etawah,madhu,SVP/General Counsel ,"Lecturer, further education",Website,Level 2,More than a week back,"Smith,Keenan H",We have all the requirements,1
Government,438405.0,2805792.0,2020-08-25,Product_1,50 - 100 Million,Category 4,India,Jaipur,kumari lalita,Executive Vice President,Office manager,Others,Level 3,Following up but lead not responding,"Charles,Caleb",Not enough,4
Banks,484685.0,3053515.5,2021-01-16,Product_1,50 - 100 Million,Category 2,India,Jamshedpur,kanchan,SVP/General Counsel ,"Journalist, broadcasting",Marketing Event,Level 3,Up-to-date,"Maine,John P",Cannot deliver,3
Other Investment Firms,65340.0,401841.0,2019-06-20,Product_1,500 Million - 1 Billion,Category 3,India,Bhilai,priya,CEO/Co-Founder/Chairman,Corporate investment banker,Others,Level 3,more than a month,"Gould,Lisa D",Yes,4
Financial Services,446115.0,2877441.75,2020-02-05,Product_1,50 - 100 Million,Category 4,USA,"Baton Rouge, LA",Taylor Ross,Chairman/Chief Innovation Officer,"Chemist, analytical",Marketing Event,Level 1,5 days back,"Rocks,Michael J",Not enough,3
Specialty,11934.0,69287.19815986179,2021-01-19,Product_2,50 - 100 Million,Category 1,USA,"Charleston-North Charleston, SC",Karen Hall,CEO/President,Clinical embryologist,Website,Level 3,5 days back,"Logan,Kevin N",Yes,4
Materials/Manufacturing,24194.0,143954.3,2019-10-30,Product_1,100 - 500 Million,Category 3,USA,"Phoenix-Mesa-Scottsdale, AZ",Kevin Franklin,CEO,Accounting technician,Website,Level 1,Up-to-date,"Cashin,Marc C",Cannot deliver,3
Banks,340572.0,1941260.4,2020-02-19,Product_2,100 - 500 Million,Category 2,USA,"Battle Creek, MI",Joshua Crosby,CEO/Co-Founder/Chairman,Energy engineer,Others,Level 2,More than a week back,"Gilley,Janine",We have all the requirements,1
Banks,91340.0,621112.0,2020-12-07,Product_1,500 Million - 1 Billion,Category 3,USA,"Winchester, VA-WV",Antonio Garcia,Chairman/CEO/President,Banker,Website,Level 3,more than a month,"Dyson,William A",Not enough,4
Hotels/Motels,108020.0,648120.0,2021-02-01,Product_2,500 Million - 1 Billion,Category 2,India,Panipat,sonia,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Risk analyst,Marketing Event,Level 2,2 days back,"Murray,Younetta",Deliverable,1
Materials/Manufacturing,356680.0,2157914.0,2019-10-26,Product_2,500 Million - 1 Billion,Category 3,India,Hospet,kamla,Chairman/CEO/President,Visual merchandiser,Website,Level 1,5 days back,"Gaskins Jr,Franklin D",Yes,3
Insurance,216809.0,1279173.1,2019-12-07,Product_2,100 - 500 Million,Category 2,USA,"Macon, GA",Cheryl Waller,Executive Vice President,Psychiatric nurse,Contact Email,Level 2,Following up but lead not responding,"Vickers Jr.,Henry J",Not enough,2
Biotech/Healthcare,160274.0,1049794.7,2020-10-01,Product_2,100 - 500 Million,Category 1,India,Indore,munni khatun,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Learning disability nurse,Website,Level 2,No track,"Ullrich,Rose Anne",Cannot deliver,3
Plumbing/HVAC,191175.0,1185285.0,2020-12-05,Product_1,100 - 500 Million,Category 1,USA,"Niles-Benton Harbor, MI",Katherine Smith,Chief Executive Officer,Advice worker,Others,Level 1,Pending,"Turner,Marlon D",Not enough,3
Construction Services,430168.0,2731566.8,2020-08-27,Product_2,100 - 500 Million,Category 3,India,Aizawl  ,chandni,CEO/Co-Founder/Chairman,Land,Others,Level 3,Did not hear back after Level 1,"Irizarry,Yolanda",Cannot deliver,5
REIT,360426.0,2252662.5,2021-02-02,Product_1,50 - 100 Million,Category 1,USA,"Victoria, TX",Gabriel Thomas,SVP/General Counsel ,Logistics and distribution manager,Contact Email,Level 1,More than 2 weeks,"Dunaway,Antoine",We have all the requirements,4
Leisure/Hospitality,370075.0,2146435.0,2020-08-21,Product_2,100 - 500 Million,Category 3,USA,"Lawrence, KS",Stephanie Ingram,CEO/Co-Founder/Chairman,Health service manager,Others,Level 1,Did not hear back after Level 1,"Salyers,Daniel L",Not enough,3
Construction Services,89082.0,587941.2,2019-02-23,Product_1,50 - 100 Million,Category 3,USA,"Laredo, TX",Mrs. Stacy Jones,CEO/Chairman/President,Art gallery manager,Marketing Event,Level 3,Following up but lead not responding,"Thomas,Lori E",Cannot deliver,3
Technology Consulting,469418.0,2769566.2,2019-02-22,Product_2,500 Million - 1 Billion,Category 3,India,Puri,saka bai,CEO/Co-Founder/Chairman,Civil Service administrator,Marketing Event,Level 1,?,"Van Arter,Derrick",No,2
Banks,202115.0,1333959.0,2020-03-21,Product_2,50 - 100 Million,Category 3,India,Bhilai,amrin,Chief Executive Officer,Immunologist,Marketing Event,Level 3,Unknown,"Logan,Kevin N",No,5
Non-Profit,373861.0,2299245.15,2021-01-19,Product_2,100 - 500 Million,Category 1,India,Mumbai,sudha,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Phytotherapist,Website,Level 1,?,"Clavey,Therese A",Not enough,2
Banks,19717.0,119287.85,2020-08-19,Product_2,500 Million - 1 Billion,Category 1,India,Bamanpuri,sumirta,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Psychotherapist, dance movement",Website,Level 1,Unknown,"Pappas,Mark S",We have all the requirements,1
Other Biz Services,75410.0,475083.0,2019-01-22,Product_1,500 Million - 1 Billion,Category 1,USA,"Valdosta, GA",Douglas Montgomery,SVP/General Counsel ,"Conservator, museum/gallery",Contact Email,Level 1,Unknown,"Smith,Keenan H",No,2
Restaurants,407305.0,2364758.0230017183,2019-04-21,Product_2,50 - 100 Million,Category 1,USA,"Boise City, ID",Kathy Thornton,CEO/President,Community arts worker,Website,Level 1,Unknown,"Booker,David L",No,4
Aerospace/Defense,169129.0,1006317.55,2020-08-19,Product_1,100 - 500 Million,Category 3,USA,"Sioux City, IA-NE-SD",Mrs. Samantha Griffith,CEO/President,Systems developer,Website,Level 1,5 days back,"Rocks,Michael J",Not enough,2
Periodicals,368976.0,2398344.0,2019-08-24,Product_1,100 - 500 Million,Category 3,USA,"Lawrence, KS",Erin Snyder,Chairman/Chief Innovation Officer,Horticultural consultant,Website,Level 3,2 days back,"Gaskins Jr,Franklin D",Not enough,1
Healthcare Facilities/Services,338048.0,2028288.0,2021-01-07,Product_1,500 Million - 1 Billion,Category 2,USA,"Barnstable Town, MA",Mrs. Rebecca Gibson,CEO/Chairman/President,Make,Contact Email,Level 2,2 days back,"Featherstone,Adrian R",Cannot deliver,1
"Oil, Gas, Coal",41102.0,271273.2,2019-08-21,Product_1,50 - 100 Million,Category 1,USA,"Midland, MI",Natasha Mullins,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Private music teacher,Others,Level 3,more than a month,"Featherstone,Adrian R",Yes,5
Recreational Services,345633.0,2333022.75,2019-01-31,Product_1,100 - 500 Million,Category 1,USA,"Tampa-St. Petersburg-Clearwater, FL",Robert Mendez,Chief Executive Officer,Product/process development scientist,Website,Level 2,Following up but lead not responding,"Gould,Lisa D",We have all the requirements,3
Banks,203494.0,1251488.1,2019-06-11,Product_1,100 - 500 Million,Category 1,India,Tiruvannamalai,smt ruby devi,CEO/President,"Teacher, primary school",Website,Level 1,5 days back,"Ali,Mohamed",Yes,1
Financial Services,178687.0,1224005.95,2020-07-24,Product_1,500 Million - 1 Billion,Category 3,USA,"Columbus, GA-AL",Robert Smith,CEO/President,Publishing copy,Contact Email,Level 3,Up-to-date,"Mabrey,Kevin C",Not enough,5
Financial Services,444009.0,2664054.0,2019-08-08,Product_2,500 Million - 1 Billion,Category 2,India,Kumbakonam,farzana,Chairman/Chief Innovation Officer,"Restaurant manager, fast food",Marketing Event,Level 2,5 days back,"Gilley,Janine",Deliverable,2
Insurance,355843.0,2330771.65,2019-03-06,Product_1,500 Million - 1 Billion,Category 2,India,Puducherry,hazu roat,CEO,Theatre director,Contact Email,Level 3,2 days back,"Clavey,Therese A",Not enough,5
Apparel Retail,87800.0,566310.0,2021-02-13,Product_2,500 Million - 1 Billion,Category 1,India,Gaya,indra kumari mina,Chairman/Chief Innovation Officer,Sales promotion account executive,Website,Level 2,Up-to-date,"Kiepea,Prince A",Yes,2
Associations,271235.0,1613848.25,2019-11-11,Product_1,50 - 100 Million,Category 2,India,Kalyan,neetu,Chairman/CEO/President,Prison officer,Marketing Event,Level 1,Did not hear back after Level 1,"Dyson,William A",Deliverable,5
Banks,322617.0,1873070.8906267916,2019-05-08,Product_1,50 - 100 Million,Category 3,USA,"Flagstaff, AZ",Diana Gonzales,CEO/Co-Founder/Chairman,Optometrist,Others,Level 1,Unknown,"Charles,Caleb",Not enough,2
REIT,292880.0,1596196.0,2019-07-30,Product_1,50 - 100 Million,Category 3,India,New Delhi,parmeswari,SVP/General Counsel ,Theatre director,Others,Level 1,Following up but lead not responding,"Gaskins Jr,Franklin D",Yes,4
"Oil, Gas, Coal",449848.0,3193920.8,2020-12-19,Product_1,500 Million - 1 Billion,Category 4,USA,"Danville, IL",Michelle Santos,Chairman/Chief Innovation Officer,Paramedic,Marketing Event,Level 2,5 days back,"Smith,Keenan H",We have all the requirements,5
Healthcare Facilities/Services,172349.0,1059946.35,2019-10-02,Product_2,100 - 500 Million,Category 3,USA,"Allentown-Bethlehem-Easton, PA-NJ",Linda Myers,CEO,Retail buyer,Website,Level 2,5 days back,"Green,Candy",No,1
Food Processing,438243.0,3001964.55,2020-09-19,Product_1,500 Million - 1 Billion,Category 4,India,Dhanbad,yinita,CEO/President,Broadcast presenter,Contact Email,Level 3,More than a week back,"Ullrich,Rose Anne",Cannot deliver,4
Entertainment/Media,35895.0,218959.5,2020-07-28,Product_2,500 Million - 1 Billion,Category 4,India,Porbandar,smt lalidavi,SVP/General Counsel ,Catering manager,Others,Level 2,More than 2 weeks,"Young,Valerie K",Yes,3
Construction Services,43750.0,255937.5,2020-06-25,Product_1,50 - 100 Million,Category 4,USA,"Champaign-Urbana, IL",Linda Little,Chief Executive Officer,"Journalist, broadcasting",Contact Email,Level 1,more than a month,"Maine,John P",No,1
Insurance,411778.0,2390727.659114427,2019-12-09,Product_2,500 Million - 1 Billion,Category 2,India,Valparai,lalita,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Designer, interior/spatial",Contact Email,Level 3,?,"Georgakopoulos,Vasilios T",Yes,3
Machine Tools,484416.0,3124483.2,2020-01-05,Product_1,500 Million - 1 Billion,Category 1,USA,"Boise City, ID",Charles Marks,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Psychotherapist, child",Website,Level 1,Pending,"Hameier,Kurt E",Cannot deliver,1
Hospitals/Clinics,83314.0,499884.0,2020-11-28,Product_2,100 - 500 Million,Category 4,USA,"Worcester, MA-CT",Kendra Hardy,CEO/President,"Production designer, theatre/television/film",Others,Level 1,More than a week back,"Van Arter,Derrick",Cannot deliver,2
Industrial Equip,150469.0,1045759.55,2020-12-24,Product_1,100 - 500 Million,Category 1,India,Rajapalaiyam,smt. neelam,Chairman/Chief Innovation Officer,Broadcast presenter,Marketing Event,Level 3,Unknown,"Logan,Kevin N",No,3
Financial Services,103682.0,632460.2,2019-01-03,Product_1,500 Million - 1 Billion,Category 3,India,Silvassa,rukhsar,CEO/Chairman/President,Audiological scientist,Marketing Event,Level 2,Unknown,"Gould,Lisa D",Deliverable,1
Education/Training,376724.0,2187208.8519838927,2019-01-16,Product_2,500 Million - 1 Billion,Category 4,USA,"Harrisonburg, VA",Christina Roach,Executive Vice President,"Designer, fashion/clothing",Others,Level 2,Unknown,"Featherstone,Adrian R",No,2
Investment Bank/Brokerage,172809.0,1218303.45,2019-07-20,Product_1,500 Million - 1 Billion,Category 4,USA,"Panama City, FL",Kerri Craig,CEO/Co-Founder/Chairman,Exercise physiologist,Contact Email,Level 3,More than 2 weeks,"Hameier,Kurt E",We have all the requirements,3
Waste/Recycling,113870.0,751542.0,2020-12-06,Product_2,50 - 100 Million,Category 3,India,Panchkula,diksha vashist,CEO/Chairman/President,"Geologist, wellsite",Marketing Event,Level 3,2 days back,"Vickers Jr.,Henry J",Not enough,5
Banks,119240.0,834680.0,2020-10-02,Product_2,500 Million - 1 Billion,Category 4,India,Patna,neha @ neelam,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Air cabin crew,Website,Level 3,Unknown,"Maine,John P",No,3
Financial Services,206819.0,1396028.25,2019-12-11,Product_1,100 - 500 Million,Category 1,India,Hisar,khushbu,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Newspaper journalist,Contact Email,Level 3,?,"Vickers Jr.,Henry J",Not enough,3
Metals/Mining,265882.0,1768115.3,2019-05-25,Product_2,500 Million - 1 Billion,Category 4,India,Cuttack,roshni,Chairman/Chief Innovation Officer,"Pharmacist, community",Contact Email,Level 3,Did not hear back after Level 1,"Davis,Brian R",No,2
Conglomerates,143848.0,855895.6,2020-11-22,Product_1,500 Million - 1 Billion,Category 2,India,Moradabad,neha,CEO,Chiropodist,Website,Level 1,More than 2 weeks,"Maine,John P",No,4
Materials/Manufacturing,53490.0,312916.5,2020-02-15,Product_1,100 - 500 Million,Category 3,India,Thanjavur,narbda,CEO/Co-Founder/Chairman,Clinical cytogeneticist,Others,Level 3,Unknown,"Hebron,Artenia D",Deliverable,2
Services,451656.0,2822850.0,2019-10-27,Product_2,50 - 100 Million,Category 3,USA,"Sierra Vista-Douglas, AZ",Robert Davis,Chairman/CEO/President,"Buyer, industrial",Contact Email,Level 2,Unknown,"Turner,Marlon D",Cannot deliver,5
Construction Services,182078.0,1074260.2,2019-04-11,Product_2,500 Million - 1 Billion,Category 1,India,Dibrugarh,rajiya,SVP/General Counsel ,"Teacher, early years/pre",Others,Level 1,Following up but lead not responding,"Houston,Arnold E",Not enough,1
Banks,198090.0,1119208.5,2020-06-29,Product_2,50 - 100 Million,Category 4,India,Bijapur,yashoda,Chairman/CEO/President,Occupational therapist,Others,Level 1,?,"Carter Sr,Clifton E",Deliverable,1
Architecture/Engineering,370718.0,2372595.2,2020-03-03,Product_2,50 - 100 Million,Category 1,USA,"Amarillo, TX",Amber Diaz,Executive Vice President,"Doctor, general practice",Website,Level 1,more than a month,"Davis,Sharrice A",Deliverable,3
Metals/Mining,413971.0,2403459.922024145,2020-04-12,Product_1,50 - 100 Million,Category 4,India,Ambala,anju devi,CEO/Chairman/President,Health visitor,Website,Level 1,Following up but lead not responding,"Hameier,Kurt E",Not enough,5
Staffing,404273.0,2587347.2,2020-06-12,Product_2,50 - 100 Million,Category 4,USA,"Athens-Clarke County, GA",Angel Robinson,Chairman/CEO/President,Medical secretary,Others,Level 3,Pending,"Hameier,Kurt E",We have all the requirements,2
Real Estate,396492.0,2517724.2,2020-03-12,Product_2,50 - 100 Million,Category 3,USA,"Wheeling, WV-OH",Louis Greene,CEO/President,Maintenance engineer,Website,Level 3,5 days back,"Morsy,Omar A",Not enough,1
Financial Services,140147.0,791830.55,2020-11-25,Product_2,50 - 100 Million,Category 3,India,Mysore,rukhsona,Chairman/Chief Innovation Officer,Exhibition designer,Contact Email,Level 1,More than a week back,"Davis,Brian R",Deliverable,3
Television/Cable,138619.0,817852.1,2020-02-11,Product_2,100 - 500 Million,Category 2,USA,"East Stroudsburg, PA",Melody Taylor,CEO,Waste management officer,Others,Level 1,No track,"Green,Ann E",Cannot deliver,5
Machine Tools,397238.0,2383428.0,2019-12-23,Product_2,50 - 100 Million,Category 3,USA,"Grand Island, NE",Kirk Gonzales,SVP/General Counsel ,Economist,Others,Level 3,Pending,"Gaskins Jr,Franklin D",Yes,2
Wood/Paper,93766.0,670426.9,2020-09-29,Product_1,100 - 500 Million,Category 4,USA,"Pensacola-Ferry Pass-Brent, FL",Michael Sheppard,CEO/President,Manufacturing systems engineer,Contact Email,Level 3,More than 2 weeks,"Cashin,Marc C",We have all the requirements,5
Associations,196713.0,1239291.9,2019-01-03,Product_1,500 Million - 1 Billion,Category 4,India,Bhatpara,preety,Chairman/Chief Innovation Officer,Dispensing optician,Marketing Event,Level 1,No track,"Meli,Teresa V",Deliverable,1
Waste/Recycling,2982.0,19383.0,2019-07-11,Product_2,500 Million - 1 Billion,Category 4,USA,"Buffalo-Cheektowaga-Niagara Falls, NY",Michelle French,CEO,Associate Professor,Marketing Event,Level 1,Pending,"Charles,Caleb",Yes,3
Banks,316138.0,1912634.9,2020-10-08,Product_2,50 - 100 Million,Category 4,USA,"Athens-Clarke County, GA",Andrew Kelley,CEO/Chairman/President,Magazine journalist,Contact Email,Level 1,No track,"Kiepea,Prince A",We have all the requirements,1
Healthcare Facilities/Services,429876.0,2450293.2,2019-01-07,Product_1,50 - 100 Million,Category 2,India,Shimla,maigo,Chief Executive Officer,Investment analyst,Others,Level 3,No track,"Rocks,Michael J",Deliverable,1
Constr - Supplies,398796.0,2751692.4,2020-06-13,Product_2,100 - 500 Million,Category 4,USA,"Eugene, OR",Jonathan Myers,CEO/President,Research scientist (medical),Website,Level 3,Pending,"Anthony,Katherine D",Deliverable,2
Auto Parts/Services,156064.0,912974.4,2019-05-16,Product_1,100 - 500 Million,Category 2,India,Kagaznagar,anita,Chairman/Chief Innovation Officer,"Scientist, research (life sciences)",Others,Level 3,More than 2 weeks,"Davis,Sharrice A",Not enough,1
Banks,256777.0,1681889.35,2020-05-16,Product_2,50 - 100 Million,Category 4,India,Kurnool,smt kavita w/o ganesh harijan,CEO,"Biochemist, clinical",Website,Level 3,Unknown,"Leu,Darren L",We have all the requirements,2
Real Estate,130420.0,756436.0,2020-08-29,Product_1,500 Million - 1 Billion,Category 2,India,Bareilly,rubina,CEO,"Administrator, Civil Service",Contact Email,Level 2,Pending,"Kiepea,Prince A",We have all the requirements,2
Hospitals/Clinics,497848.0,3011980.4,2020-07-13,Product_2,100 - 500 Million,Category 2,India,Bareilly,nikita,SVP/General Counsel ,Publishing copy,Contact Email,Level 3,more than a month,"Ullrich,Rose Anne",We have all the requirements,1
Recreational Products,175166.0,1121062.4,2019-12-09,Product_2,100 - 500 Million,Category 1,India,Parbhani,jyoti,CEO/President,"Lighting technician, broadcasting/film/video",Contact Email,Level 2,Pending,"Gould,Lisa D",Not enough,4
Insurance,132176.0,872361.6,2020-04-03,Product_1,50 - 100 Million,Category 3,India,Raipur,lata thakur,Chairman/Chief Innovation Officer,"Designer, fashion/clothing",Marketing Event,Level 3,?,"Cash,Tyrone J",Not enough,5
Biotech/Healthcare,427648.0,2587270.4,2021-02-10,Product_1,50 - 100 Million,Category 3,USA,"College Station-Bryan, TX",Amanda Ross,Chairman/Chief Innovation Officer,Theatre director,Contact Email,Level 2,Pending,"Davis,Brian R",Cannot deliver,4
Aerospace/Defense,472200.0,2526270.0,2021-02-13,Product_2,50 - 100 Million,Category 2,India,Bharauri,anita nagesia,SVP/General Counsel ,"Designer, textile",Others,Level 1,?,"Cash,Tyrone J",Yes,4
Internet Software,491196.0,2627898.6,2020-05-31,Product_1,50 - 100 Million,Category 2,India,Nellore,shruti,Chairman/CEO/President,Architect,Others,Level 2,more than a month,"Murray,Younetta",Deliverable,1
Banks,261977.0,1532565.45,2020-01-08,Product_2,50 - 100 Million,Category 1,USA,"Palm Bay-Melbourne-Titusville, FL",Cindy Browning,Chairman/CEO/President,"Runner, broadcasting/film/video",Others,Level 1,Pending,"Davis,Brian R",Cannot deliver,1
Software,337155.0,2292654.0,2020-07-10,Product_2,50 - 100 Million,Category 4,USA,"Atlanta-Sandy Springs-Roswell, GA",Michael Sanchez,Chairman/Chief Innovation Officer,Geoscientist,Others,Level 3,more than a month,"Charles,Caleb",No,5
Banks,333550.0,1936548.25,2020-12-19,Product_2,500 Million - 1 Billion,Category 2,India,Rajapalaiyam,soni kumari,Chairman/CEO/President,Insurance claims handler,Website,Level 1,?,"Tondeur,Keith D",Not enough,2
Biotech/Healthcare,144203.0,837223.21403105,2020-10-17,Product_1,50 - 100 Million,Category 4,India,Hisar,sonu,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Insurance broker,Website,Level 3,?,"Massiah,Gerard F",Deliverable,4
Banks,53392.0,344378.4,2020-06-14,Product_1,500 Million - 1 Billion,Category 2,India,Bharauri,shobha kumari,CEO/Co-Founder/Chairman,Multimedia specialist,Contact Email,Level 3,Did not hear back after Level 1,"Clavey,Therese A",We have all the requirements,5
Hospitals/Clinics,422703.0,2705299.2,2020-05-25,Product_1,100 - 500 Million,Category 4,USA,"Bloomington, IN",David Martin,CEO,Paediatric nurse,Marketing Event,Level 1,more than a month,"Vickers Jr.,Henry J",We have all the requirements,1
Banks,236508.0,1560952.8,2020-09-01,Product_1,100 - 500 Million,Category 4,USA,"Burlington-South Burlington, VT",Elizabeth Miller,CEO/President,Newspaper journalist,Contact Email,Level 2,Did not hear back after Level 1,"Davis,Sharrice A",We have all the requirements,4
Biotech/Healthcare,353323.0,2225934.9,2019-02-26,Product_2,500 Million - 1 Billion,Category 3,India,Chikka Mandya,km0 komal tomar,Chief Executive Officer,Financial adviser,Contact Email,Level 2,2 days back,"Carter Sr,Clifton E",We have all the requirements,5
Banks,59969.0,332827.95,2019-02-27,Product_1,50 - 100 Million,Category 3,USA,"Fayetteville-Springdale-Rogers, AR-MO",Jeffrey Jones,CEO,Glass blower/designer,Contact Email,Level 1,No track,"Logan,Kevin N",Yes,1
Investment Bank/Brokerage,311840.0,1652752.0,2020-01-19,Product_2,100 - 500 Million,Category 2,India,Ongole,deeya,Chairman/CEO/President,"Production designer, theatre/television/film",Others,Level 1,More than a week back,"Charles,Caleb",We have all the requirements,1
Rentals/Leasing,483883.0,3048462.9,2020-01-22,Product_2,500 Million - 1 Billion,Category 1,USA,"Milwaukee-Waukesha-West Allis, WI",Leah Berry,CEO/Chairman/President,Tax adviser,Others,Level 1,more than a month,"Abdul-Hamid,Saud Muhamad",We have all the requirements,4
Other Biz Services,39193.0,252794.85,2019-12-17,Product_1,50 - 100 Million,Category 1,USA,"Lake Havasu City-Kingman, AZ",Rachel Harrington,CEO/Co-Founder/Chairman,Photographer,Marketing Event,Level 2,No track,"Robinson,John C",We have all the requirements,3
Materials/Manufacturing,132988.0,857772.6,2020-01-19,Product_1,500 Million - 1 Billion,Category 3,USA,"Sioux Falls, SD",Travis Melton,CEO/Chairman/President,Passenger transport manager,Website,Level 2,Pending,"Green,Candy",Not enough,4
Real Estate,418536.0,2594923.2,2020-12-31,Product_1,100 - 500 Million,Category 1,India,Ghaziabad,sanjana,CEO/Chairman/President,Amenity horticulturist,Others,Level 2,more than a month,"Rocks,Michael J",Deliverable,3
Wood/Paper,339827.0,2038962.0,2019-10-04,Product_2,100 - 500 Million,Category 3,USA,"Elizabethtown-Fort Knox, KY",Christine Zuniga,CEO/Co-Founder/Chairman,Firefighter,Marketing Event,Level 1,Did not hear back after Level 1,"Green,Ann E",Cannot deliver,2
Financial Services,321626.0,1865430.8,2019-11-26,Product_1,500 Million - 1 Billion,Category 2,USA,"Decatur, IL",Diana Barnes,CEO/President,Fast food restaurant manager,Others,Level 2,Up-to-date,"Van Arter,Derrick",Not enough,2
Government,323686.0,2103959.0,2020-02-01,Product_2,100 - 500 Million,Category 3,India,Ludhiana,vimlesh,CEO/Co-Founder/Chairman,Fine artist,Website,Level 3,Unknown,"Gilley,Janine",No,3
Healthcare Facilities/Services,18259.0,106009.29706727974,2020-11-22,Product_1,100 - 500 Million,Category 3,India,Mangalore,miss anju maida,Chairman/Chief Innovation Officer,Naval architect,Marketing Event,Level 3,Following up but lead not responding,"Gaskins Jr,Franklin D",Not enough,2
Banks,256339.0,1473949.25,2020-10-11,Product_1,50 - 100 Million,Category 2,India,Amritsar,shivani,CEO,Further education lecturer,Others,Level 2,No track,"Meli,Teresa V",Not enough,5
Other,212146.0,1410770.9,2019-12-30,Product_2,500 Million - 1 Billion,Category 1,India,Pathankot,neha,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Sub,Website,Level 2,Following up but lead not responding,"Tondeur,Keith D",We have all the requirements,4
Banks,223722.0,1476565.2,2019-09-20,Product_2,50 - 100 Million,Category 4,USA,"Topeka, KS",Sarah Stevens,CEO/Chairman/President,Marketing executive,Website,Level 2,2 days back,"Moran,Natalie A",We have all the requirements,3
Banks,86384.0,600368.8,2020-05-21,Product_1,50 - 100 Million,Category 1,USA,"Beaumont-Port Arthur, TX",Gary Martinez,CEO/Chairman/President,Geographical information systems officer,Website,Level 3,Did not hear back after Level 1,"Massiah,Gerard F",Yes,4
Marketing/Advertising,353604.0,1980182.4,2019-05-26,Product_1,500 Million - 1 Billion,Category 2,USA,"Hinesville, GA",Kelli Bowman,CEO,"Scientist, research (life sciences)",Others,Level 1,more than a month,"Carter Sr,Clifton E",No,2
BioTech/Drugs,436799.0,2686313.85,2020-04-20,Product_1,100 - 500 Million,Category 3,USA,"Vineland-Bridgeton, NJ",Kristopher Juarez,CEO/President,Rural practice surveyor,Website,Level 2,more than a month,"Murray,Younetta",Not enough,1
Grocery,80891.0,505568.75,2019-12-24,Product_2,100 - 500 Million,Category 2,USA,"Elkhart-Goshen, IN",Marcus Williams,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Make,Others,Level 3,2 days back,"Hebron,Artenia D",Yes,3
REIT,421239.0,2590619.85,2019-07-31,Product_2,50 - 100 Million,Category 2,India,Silvassa,taj b,Vice President / GM (04-present) : VP Sales and Marketing (01-04),IT trainer,Marketing Event,Level 2,Following up but lead not responding,"Heidelberg,Andre D",Cannot deliver,5
Furniture/Fixtures,401119.0,2426769.95,2019-12-04,Product_1,50 - 100 Million,Category 4,USA,"Cedar Rapids, IA",Cameron Bender,Executive Vice President,Animator,Others,Level 1,5 days back,"Heidelberg,Andre D",Deliverable,3
Insurance,113009.0,678054.0,2019-02-06,Product_1,100 - 500 Million,Category 1,India,Bhilai,priti,CEO/Co-Founder/Chairman,"Nurse, adult",Contact Email,Level 1,more than a month,"Dunaway,Antoine",Deliverable,2
Government,294485.0,1619667.5,2019-12-27,Product_1,500 Million - 1 Billion,Category 3,India,Hindupur,anita w/o shimbhu,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Multimedia specialist,Others,Level 1,more than a month,"Van Arter,Derrick",Yes,2
Plumbing/HVAC,415926.0,2765907.9,2020-01-21,Product_2,100 - 500 Million,Category 2,USA,"Lake Charles, LA",Laura Hill,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Environmental consultant,Contact Email,Level 3,5 days back,"Gould,Lisa D",Cannot deliver,5
Financial Services,301456.0,2049900.8,2019-08-11,Product_1,100 - 500 Million,Category 1,USA,"Salem, OR",Jessica Rogers,Chairman/CEO/President,"Designer, industrial/product",Marketing Event,Level 2,No track,"Bannister,Joan",We have all the requirements,4
Services,22998.0,151786.8,2019-02-08,Product_2,500 Million - 1 Billion,Category 3,India,Latur,arti,CEO/President,"Engineer, electronics",Website,Level 3,2 days back,"Featherstone,Adrian R",Cannot deliver,5
Other Biz Services,41815.0,257162.25,2020-05-17,Product_1,100 - 500 Million,Category 3,USA,"Roanoke, VA",Nancy Davis,CEO/President,Health service manager,Contact Email,Level 3,More than 2 weeks,"Meli,Teresa V",No,1
Music,260952.0,1630950.0,2021-02-14,Product_2,500 Million - 1 Billion,Category 1,India,Gurugram,anamika,Chief Executive Officer,"Scientist, product/process development",Website,Level 1,Unknown,"Gaskins Jr,Franklin D",Deliverable,2
Machine Tools,442892.0,2657352.0,2019-07-01,Product_2,100 - 500 Million,Category 1,India,Haldia,priyanka,Chairman/Chief Innovation Officer,"Librarian, public",Others,Level 1,More than a week back,"Gilley,Janine",Not enough,3
